COMUNE,FARMACIA,CL,INDIRIZZO,CAP,TELEFONO,PROVINCIA
LICATA,Carubia Nicola,U,"Piazza Linares, 9",92027,0922-774203,Agrigento
LICATA,Farmacia Guadagnino S.N.C.,U,"Largo Corvaia, 11",92027,0922-771570,Agrigento
LICATA,Farmacia Dr. Gagliano Gaetano & C. snc,U,"Corso Roma, 90",92027,0922-774465,Agrigento
LICATA,Fregapane Giuseppina,U,"Corso Umberto, 3",92027,0922-774332,Agrigento
LICATA,Farmacia Dr. Gagliano Teresa & C.,U,"Piazza Progresso, 3",92027,0922-774424,Agrigento
LICATA,Lauria Angelo,U,"Corso Vittorio Emanuele, 27",92027,0922-774409,Agrigento
LICATA,Licata S.N.C.,U,"Via Palma, 7",92027,0922-891869,Agrigento
LICATA,Platamone Dr.ssa Mallia Ornella A.M.,U,"Corso Vittorio Emanuele, 44",92027,0922-77412,Agrigento
LINOSA,Di Stefano Grazia,RS,"Via Vittorio Alfieri, 11",92010,0922-972203,Agrigento
LUCCA SICULA,Sedita Anna Maria,RS,"Via Roma, 9",92010,0925-60448,Agrigento
MENFI,Li Volsi Giuseppina,U,"Viale Michelangelo, 78",92013,0925-72887,Agrigento
MENFI,Spitali Gaspare,U,Corso dei Mille,92013,0925-71252,Agrigento
MENFI,Farmacia Tavormina S.N.C.,U,"Via Matteotti, 4",92013,0925-71364,Agrigento
MONTALLEGRO,Cascio Sina M. Luisa,RS,"Viale della Vittoria, 117",92010,0922-847180,Agrigento
MONTEVAGO,Triolo Mario,RS,"Piazza Matteotti, 4",92010,0925-38068,Agrigento
NARO,Iacona Irene,U,"Via Dante, 92",92028,0922-956595,Agrigento
NARO,Farmacia San Coloiru Picciulu S.A.S.,U,"Corso Vittorio Emanuele, 22",92028,0922-956022,Agrigento
NARO,Farmacia Principato di Cirami E.,U,"Via Piave, 182",92028,0922-956065,Agrigento
PALMA DI MONTECHIARO,Alessi Paolo,U,"Via Odierna, 407",92020,0922-968222,Agrigento
PALMA DI MONTECHIARO,Farmacia Lauricella SAS,U,"Via A. Diaz, 199",92020,0922-961241,Agrigento
PALMA DI MONTECHIARO,Incardona Antonina,U,"Via Odierna, 433",92020,0922-968712,Agrigento
PALMA DI MONTECHIARO,Miceli Claudio,U,"Via F. Turati, 70",92020,0922-965988,Agrigento
PALMA DI MONTECHIARO,Di Puma Calogero,U,"Via Tenente Palma, 117",92020,0922-962172,Agrigento
PALMA DI MONTECHIARO,Farmacia Vajola s.n.c.,U,"Via Odierna, 343",92020,099-968262,Agrigento
PORTO EMPEDOCLE,Farmacia Di Gangi SAS,U,"Via Roma, 100",92014,0922-636257,Agrigento
PORTO EMPEDOCLE,Farmacia Guaia SAS,U,"Via Milano, 30",92014,0922-632407,Agrigento
PORTO EMPEDOCLE,Sammartino Loredana,U,SS 115 - Via Vincenzella,92014,0922-636177,Agrigento
PORTO EMPEDOCLE,Terrana Mario,U,"Via Roma, 86",92014,0922-636139,Agrigento
RACALMUTO,Farmacia Antogna SNC,U,"Via Garibaldi, 148",92020,0922-941372,Agrigento
RACALMUTO,Burruano Angela,U,"Via Garibaldi, 37",92020,0922-948051,Agrigento
RACALMUTO,Farmacia A. Burruano di R. Burruano,U,"Piazza F. Crispi, 8",92020,0922-941413,Agrigento
RAFFADALI,Arcuri Domenico,U,"Via Nazionale, 141",92015,0922-39281,Agrigento
RAFFADALI,Farmacia Dr. Bellomo S.A.S.,U,"Via Nazionale, 95",92015,0922-39009,Agrigento
RAFFADALI,Farmacia Gueli & Argento SNC,U,"Via Nazionale, 101",92015,0922-39025,Agrigento
RAVANUSA,Costanza Pietro,U,"Corso della Repubblica, 208",92029,0922-874103,Agrigento
RAVANUSA,Testasecca Nadia,U,"Corso della Repubblica, 56",92029,0922-874184,Agrigento
RAVANUSA,Farmacia Trenta e Minacori SNC,U,"Via C. Pisacane, 98",92029,0922-874204,Agrigento
REALMONTE,Farmacia Lauricella SNC,R,"Via Piazza Vecchia, 21",92010,0922-816237,Agrigento
RIBERA,Aricò Concetta,U,"Via Berlinguer, 22",92016,0925-544131,Agrigento
RIBERA,Corso Filippo,U,"Corso Umberto I, 16",92016,0925-62145,Agrigento
RIBERA,Ganduscio Girolamo,U,"Via Marconi, 37",92016,0925-66463,Agrigento
RIBERA,Guaia Ettore,U,"Via G. Verga, 51-53",92016,0925-61034,Agrigento
RIBERA,Farmacia Pace SNC,U,"Corso Umberto, 93",92016,0925-61835,Agrigento
S. BIAGIO PLATANI,Caldara Vincenzo,R,"Corso Umberto I, 104",92020,0922-910186,Agrigento
S. GIOVANNI GEMINI,Cacciato Alberto,U,"Viale Dionisio Alessi, 6",92018,0922-909422,Agrigento
S. GIOVANNI GEMINI,Farmacia Raineri SNC,U,"Largo Nazareno, 5",92018,0922-909472,Agrigento
SAMBUCA DI SICILIA,Ferrara Marianna,U,"Corso Umberto I, 146",92017,0925-941121,Agrigento
SAMBUCA DI SICILIA,Miceli Antonino,U,"Corso Umberto I, 89",92017,0925-944128,Agrigento
SAMBUCA DI SICILIA,Palminteri Carmela,U,"Corso Umberto I, 143",92017,0925-941076,Agrigento
SANTA ELISABETTA,Fragapane Mirella,RS,"Corso Umberto I, 112",92020,0922-479218,Agrigento
SANTA MARGHERITA BELICE,Serra Giuseppe,U,"Via Libertà, 1",92018,0925-31335,Agrigento
SANTA MARGHERITA BELICE,Viola Gaspare,U,"Via S. Francesco, 1",92018,0925-31104,Agrigento
SANT'ANGELO MUXARO,Scimonelli Lucia,RS,"Piazza Umberto I, 26",92020,0922-919211,Agrigento
SANTO STEFANO QUISQUINA,Farmacia Jacoponelli S.N.C.,R,"Via Roma, 55",92020,0922-982013,Agrigento
SANTO STEFANO QUISQUINA,Farmacia Troja SNC,R,"Via Madre Chiesa, 3",92020,0922-982083,Agrigento
SCIACCA,Farmacia Brunetto Dr.ssa M.C.Brunetto,U,"Via Segni 5z, 38",92019,0925-26435,Agrigento
SCIACCA,Cusmano M. Concetta,U,"Corso Vittorio Emanuele, 138",92019,0925-21681,Agrigento
SCIACCA,Cusmano Piera,U,"Via Miraglia, 28",92019,0925-23206,Agrigento
SCIACCA,Farmacia Di Prima S.N.C.,U,Piazza Saverio Friscia,92019,0925-21709,Agrigento
SCIACCA,Farmacia Dott.ri Di Benedetto e Tarallo,U,"Via Licata, 247",92019,0925-21321,Agrigento
SCIACCA,Pace Maurizio,U,"Via Cappuccini, 58",92019,0925-22259,Agrigento
SCIACCA,Farmacia Tulone S.N.C.,U,"Piazza S. Michele, 259",92019,0925-21762,Agrigento
SCIACCA,Farmacia Virgilio SNC,U,"Via Morandi, 12",92019,0925-23003,Agrigento
SCIACCA,Guarino Maria,U,"Corso Vittorio Emanuele, 105",92019,0925-21801,Agrigento
SCIACCA,Tagliavia Francesco,U,"Via G. Licata, 143",92019,0925-21280,Agrigento
SICULIANA,Farmacia Scaduto S.N.C.,R,"Via Marconi, 56",92010,0922-815129,Agrigento
SICULIANA,Sciortino Ludovico,R,"Via Roma, 180",92010,0922-815119,Agrigento
VILLAFRANCA SICULA,Bruccoleri Gaetano,RS,"Via Vittorio Emanuele, 103",92020,0925-550035,Agrigento
BONPENSIERE,Sorce Calogero,RS,"Via Aldo Moro, 18",93010,0934-938090,Caltanissetta
BUTERA,Pitrola Mimma,U,"Via Caltanissetta, 84",93011,0934-346575,Caltanissetta
BUTERA,Farmacia Celestreri S.N.C.,U,"Via G. Matteotti, 20",93011,0934-346278,Caltanissetta
CALTANISSETTA,Bonasera Vincenzo,U,"Via E. De Amicis, 61",93100,0934-595541,Caltanissetta
CALTANISSETTA,Farmacia Al Duomo S.N.C.,U,"Via F. Paladini, 69",93100,0934-21686,Caltanissetta
CALTANISSETTA,Farmacia Centrale,U,"Corso Umberto I, 181-183",93100,0964-21415,Caltanissetta
CALTANISSETTA,Farmacia Croce Verde S.N.C.,U,"Viale della Regione, 86",93100,0934-592019,Caltanissetta
CALTANISSETTA,Farmacia del Corso della Dr.ssa Iraci,U,"Corso Vittorio Emanuele, 150",93100,0934-547091,Caltanissetta
CALTANISSETTA,Farmacia Eufrate di Eufrate F. & C. SAS,U,"Via F. Turati, 35",93100,0934-591372,Caltanissetta
CALTANISSETTA,Farmacia Eufrate Dr. Giuseppe S.A.S.,U,"Viale S. Candura, 20/F (Zona S. Luca)",93100,0934-541864,Caltanissetta
CALTANISSETTA,Farmacia La China S.N.C.,U,"Via Fra Giarratana, 104 C",93100,0934-22562,Caltanissetta
CALTANISSETTA,Farmacia Marrocco Attilio S.N.C.,U,"Via Rosso di San Secondo, 72",93100,0934-592641,Caltanissetta
CALTANISSETTA,Farmacia Messana Dr. Francesco S.N.C.,U,"Viale Conte Testasecca, 51",93100,0934-25302,Caltanissetta
CALTANISSETTA,Farmacia Pasqualino S.N.C.,U,"Via A. Sciascia, 4 (Vill. S. Barbara)",93100,0934-566484,Caltanissetta
CALTANISSETTA,Farmacia San Pio X Dr.ssa Amico G.,U,"Via N. Colaianni, 76",93100,0934-27229,Caltanissetta
CALTANISSETTA,Pantano Giuseppe,U,"Via Don Minzoni, 164",93100,0934-553301,Caltanissetta
CALTANISSETTA,Romano Giovanna,U,"Corso Vittorio Emanuele, 74",93100,0934-25222,Caltanissetta
CALTANISSETTA,Scarantino Rosaria,U,"Via P.E. Giudici, 4",93100,0934-25306,Caltanissetta
CALTANISSETTA,Vizzini Rocco,U,"Viale Trieste, 59",93100,0934-21286,Caltanissetta
CAMPOFRANCO,Lamattina Ignazia,R,"Corso Umberto, 5",93010,0934-959051,Caltanissetta
DELIA,Bufalino Maria Concetta,U,"Via Cavour, 58",93010,0922-820531,Caltanissetta
DELIA,Pittari Calogero,U,"Corso Umberto, 30",93010,0922-820343,Caltanissetta
GELA,Aliotta Anna Maria,U,"Via Cascino, 1/B",93012,0933-912760,Caltanissetta
GELA,Amato Antonio,U,"Via S. Aldisio, 316",93012,0933-930298,Caltanissetta
GELA,Antica Farmacia Presti Dr. Gennuso I.,U,"Corso Vittorio Emanuele, 465",93012,0933-912850,Caltanissetta
GELA,Bennici Concetta,U,"Via Europa, 73",93012,0931-877101,Caltanissetta
GELA,Bordonaro Leonardo,U,"Corso Vittorio Emanuele, 224",93012,0933-917756,Caltanissetta
GELA,Campisi Salvatore,U,"Corso Vittorio Emanuele, 163",93012,0933-912857,Caltanissetta
GELA,Cipolla Venera,U,"Via F. Crispi, 192",93012,0933-912604,Caltanissetta
GELA,Di Bartolo Angela Simonetta Laura,U,"Corso Vittorio Emanuele, 323",93012,0933-917753,Caltanissetta
GELA,FARMACIA,CL,INDIRIZZO,CAP,TELEFONO,Caltanissetta
GELA,Farmacia Calamita Dr.ssa Grisafi G.,U,"Corso S. Aldisio, 279",93012,0933-930749,Caltanissetta
GELA,Farmacia Clementi Dr. Santisi Giuseppe,U,"Piazza Umberto I, 9",93012,0933-912810,Caltanissetta
GELA,Farmacia Eleusi Dr. Salafia Angelo,U,"Via Argolide, 3",93012,0933-937540,Caltanissetta
GELA,Farmacia Gennuso S.N.C.,U,"Via Venezia, 137",93012,0933-911732,Caltanissetta
GELA,Farmacia L'Abbate del Dr. Pernicano,U,"Via Palazzi, 50",93012,0933-937209,Caltanissetta
GELA,Farmacia San Giacomo S.N.C.,U,"Corso Aldisio, 129",93012,0933-913103,Caltanissetta
GELA,Tinaglia Giovanni,U,"Via Venezia, 222",93012,0933-908776,Caltanissetta
GELA,Farmacia Varrica Croce Verde S.N.C.,U,"Viale Cortemaggiore, 67 (Macchitella zon.Com)",93012,0933-937520,Caltanissetta
GELA,Manfrè Massimo Antonio,U,"Via Venezia, 412",93012,0933-911827,Caltanissetta
GELA,Pintaudi Maria Grazia,U,"Via G. Verga, 102/104",93012,0933-911161,Caltanissetta
GELA,Salerno Gaetano,U,"Corso Aldisio, 20",93012,0933-912844,Caltanissetta
MARIANOPOLI,Vullo Rosario,R,"Via Cantiere, 34",93010,0934-674100,Caltanissetta
MAZZARINO,Crapanzano Salvatore,U,"Corso Vittorio Emanuele, 228",93013,0934-382208,Caltanissetta
MAZZARINO,Farmacia Falco SNC,U,"Corso Vittorio Emanuele, 412",93013,0934-381286,Caltanissetta
MAZZARINO,Lanzarotta Franca,U,"Via S. Giuseppe, 10",93013,0934-381196,Caltanissetta
MAZZARINO,Volpe Maria Concetta,U,"Via Roma, 43",93013,0934-382419,Caltanissetta
MILENA,Ippolito Maria,R,"Via Paganini, 7",93010,0934-936097,Caltanissetta
MONTEDORO,Morreale Rosa Maria,R,"Via Europa, 26",93010,0934-934339,Caltanissetta
MUSSOMELI,Catania Piero,U,"Via Orfanotrofio, 21",93014,0934-951209,Caltanissetta
MUSSOMELI,Cipolla Valter,U,"Via S. Quasimodo, 9",93014,0934-952146,Caltanissetta
MUSSOMELI,Piazza Vivia,U,"Piazza Roma, 21",93014,0934-951118,Caltanissetta
NISCEMI,Agozzino Giuseppa,U,"Via XX Settembre, 118",93015,0933-954047,Caltanissetta
NISCEMI,Buscemi Rosa,U,"Viale Mario Gori, 180",93015,0933-951235,Caltanissetta
NISCEMI,Farma Niscemi S.R.L.,U,"Via Popolo, 172",93015,0933-953859,Caltanissetta
NISCEMI,Farmacia Lodato Bruno G. & F.lli SNC,U,"Via XX Settembre, 59",93015,0933-951357,Caltanissetta
NISCEMI,Ingala Marcella,U,"Via G. Matteotti, 53",93015,0933-952676,Caltanissetta
NISCEMI,Farmacia Rizzo Dottori: G. Rizzo & C.,U,"Via Umberto I, 68",93015,0933-951359,Caltanissetta
NISCEMI,Muscia Cristina,U,"Via XX Settembre, 79",93015,0933-951465,Caltanissetta
RESUTTANO,Cucchiara Calogera,R,"Via Castelnuovo, 83",93010,0934-673488,Caltanissetta
RIESI,Farmacia Puzzo & C. S.A.S.,U,"Via Vittorio Veneto, 172",93016,0934-928146,Caltanissetta
RIESI,Farmacie Verso & C. S.A.S.,U,"Via Principe Umberto, 70",93016,0934-928147,Caltanissetta
SAN CATALDO,Farmacia Belvedere S.R.L.,U,"Via Babbaurra, 40",93017,0934-571397,Caltanissetta
SAN CATALDO,Farmacia Cristo Re,U,"Viale dei Pltani, 92",93017,0934-574141,Caltanissetta
SAN CATALDO,Farmacia Maira S.N.C.,U,"Corso Vittorio Emanuele, 67",93017,0934-571467,Caltanissetta
SAN CATALDO,Farmacia Pilato S.N.C.,U,"Via G. Garibaldi, 85",93017,0934-571578,Caltanissetta
SAN CATALDO,Gallo Antonio,U,"Piazza Crispi, 1",93017,0934-571198,Caltanissetta
SAN CATALDO,Guadagnino Santo,U,"Corso Sicilia, 120",93017,0934-571335,Caltanissetta
SANTA CATERINA VILLARMOSA,Abela Francesco,U,"Piazza Garibaldi, 31",93018,0934-671070,Caltanissetta
SANTA CATERINA VILLARMOSA,Farmacia Di Benedetto S.N.C.,U,"Via Roma, 80",93018,0934-671123,Caltanissetta
SERRADIFALCO,Arnone Franca,U,"Via Roma, 24",93010,0934-931118,Caltanissetta
SERRADIFALCO,Farmacia Madrice Dott. Marco Granata,U,"Via Duca, 67",93010,0934-931120,Caltanissetta
SOMMATINO,Farmacia Miserendino SNC,U,"Corso Umberto I, 138",93019,0922-871189,Caltanissetta
SOMMATINO,Russo Luigi,U,"Corso Umberto I, 13",93019,0922-871254,Caltanissetta
SUTERA,Carruba Paolo Salvatore,R,"Via Sen. G. Mormino, 85",93010,0934-954924,Caltanissetta
VALLELUNGA PRATAMENO,Capuano Francesco,R,Via Palmeri,93010,0934-814027,Caltanissetta
VILLALBA,Triolo Francesca,R,"Via N. Palmeri, 149",93010,0934-811020,Caltanissetta
ACI BONACCORSI,Lonardi Portale Antonio,R,"Via Garibaldi, 21",95020,095-7899269,Catania
ACI CASTELLO,Farmacia Marletta C. & C. SNC,U,"Via Pantolla, 1 - Acitrezza",95026,095-276708,Catania
ACI CASTELLO,Costa Maria Chiara,U,"Via Vittorio Veneto, 48",95021,095-7111371,Catania
ACI CASTELLO,Fonte Antonella Maria,U,"Via Angelo Musco, 11/A",95021,095-7123530,Catania
ACI CASTELLO,Stuto Lucia,U,"Via Firenze, 15 Cannizzaro",95020,095-7125380,Catania
ACI CASTELLO,Stuto Salvatore,U,"Via Tripoli, 164 - Ficarazzi",95020,095-279257,Catania
ACI CATENA,De Cristofaro Alessandra,U,"Via Vampolieri, 9/F",95022,095-7645095,Catania
ACI SAN FILIPPO,Fallico Cecilia,U,"Piano S. Filippo, 5",95020,095-879116,Catania
ACI CATENA,Ferlito Maria Antonia & C. SNC,U,"Piazza Umberto, 33",95022,095-801524,Catania
ACI CATENA,La Genga Agostino,U,"Via Vitt. Emanuele, 154 - Acicatena",95022,095-8030073,Catania
ACI CATENA,Leone Vincenza & Puglisi Bruno SNC,U,"Via IV Novembre, 133",95022,095-7644870,Catania
ACI CATENA,Manno Antonio,U,"Via S. Nicolò, 8/A",95022,095-870953,Catania
ACI S. ANTONIO,Farmacia Ferreri & C SNC,U,"Piazza Cantarella, 10",95025,095-7921871,Catania
ACI S. ANTONIO,Caruso Rosa Maria,U,"Via Nino Martoglio, 11",95025,095-886338,Catania
ACI S. ANTONIO,Carpino Franca Graziella,U,"Via Lavina, 158/F",95025,095-7890106,Catania
ACI S. ANTONIO,Neri Maria,U,"Via De Felice, 7",95025,095-7891005,Catania
ACIREALE,Farmacia Cantarero S.N.C.,U,"Via dei Platani, 95 - Aci Platani",95023,095-601367,Catania
ACIREALE,Avitabile S.N.C.,U,"Piazza L. Vigo, 11",95024,095-601945,Catania
ACIREALE,Parlato Salvatore,U,"Piazza Mazzini, 3",95024,095-604305,Catania
ACIREALE,Cipriani Alfio,U,"Corso Umberto, 136",95024,095-601185,Catania
ACIREALE,Guarnaccia Carmela,U,"Via Antonino Scalia, 48",95024,095-891738,Catania
ACIREALE,Impellizzeri Sebastiano,U,"Via Verga, 47",95024,095-607158,Catania
ACIREALE,Patanè Arcangelo,R,"Via Provinciale, 118/A - Scillichenti",95020,095-871582,Catania
ACIREALE,Farmacia Petitto D. & C. SNC,U,"Corso Italia, 1",95024,095-8141000,Catania
ACIREALE,Farmacia Sanna F.sco & Figli SNC,U,"Corso Vittorio Emanuele, 24/26",95024,095-604393,Catania
ACIREALE,Sesto Fiorenza,U,"Corso Vittorio Emanuele, 179",95024,095-604446,Catania
ACIREALE,Gallo Orazio,R,"Via Nazionale, 196 - Guardia Mangano",95020,095-809072,Catania
ACIREALE,Zafarana Marianna & C. S.N.C.,U,"Piazza Europa, 21",95024,095-7647808,Catania
ADRANO,Locascio Vincenzo,U,"Piazza Mercato, 40",95031,095-7692263,Catania
ADRANO,Bertino Emanuele,U,"Via Vittorio Emanuele, 308",95031,095-7691560,Catania
ADRANO,Farmacia Giada e Giorgia Bua SNC,U,"Piazza S. Agostino, 8",95031,095-7693242,Catania
ADRANO,Farmacia Musumeci e Catania S.N.C.,U,"Via Cappuccini, 97",95031,095-7692563,Catania
ADRANO,Longo Farncesca,U,"Piazza Umberto, 70",95031,095-7692193,Catania
ADRANO,Farmacia Foresta S.N.C.,U,"Via San Pietro, 145",95031,095-7692616,Catania
ADRANO,Mandragona Daniela,U,"Via Spampinato, 35",95031,095-7692621,Catania
ADRANO,Murabito Luigi,U,"Via San Filippo, 180",95031,095-7692814,Catania
ADRANO,Spitaleri Giuseppe,U,"Via Catena, 1",95031,095-7692300,Catania
BELPASSO,Farmacia Aiello Pietro SAS,U,"Via Vittorio Emanuele III, 191",95032,095-912386,Catania
BELPASSO,Lombardo Giuseppe,U,"Via Roma, 260",95032,095-913440,Catania
BELPASSO,Patanè Maria Annunziata,U,"Via Vittorio Emanuele, 477",95032,095-7911016,Catania
BELPASSO,Tomaselli Maria,U,"Via Roma, 175",95032,095-912124,Catania
BELPASSO - PIANO TAVOLA,Grasso Francesca Maria,U,"Via Mongibello, 77",95032,095-391428,Catania
BIANCAVILLA,Bucolo Barberina,U,"Via Vittorio Emanuele, 502",95033,095-981016,Catania
BIANCAVILLA,Di Stefano Antonio,U,"Via Francesco Crispi, 35",95033,095-981805,Catania
BIANCAVILLA,Bonanno Loredana,U,"Via Lazio, 1",95033,095-688645,Catania
BIANCAVILLA,Maisano Salvatore,U,"Via Vittorio Emanuele, 266",95033,095-981343,Catania
BIANCAVILLA,Farmacia Scalisi L. & C. SNC,U,"Via Vittorio Emanuele, 395",95033,095-982422,Catania
BIANCAVILLA,Paladino Alfredo,U,"Via Vittorio Emanuele, 396",95033,095-982430,Catania
BRONTE,Biondi S.N.C.,U,"Via Umberto, 262",95034,095-692717,Catania
BRONTE,Ciraldo Guido,U,"Via Umberto, 148",95034,095-691384,Catania
BRONTE,Rapisarda Concetta,U,"Piazza del Rosario, 5",95034,095-691187,Catania
BRONTE,Rizzo Vincenzo,U,"Via Umberto, 271",95034,095-691567,Catania
BRONTE,Giambò Calogero,U,"Via Palermo, 15/B",95034,095-692975,Catania
CALATABIANO,Cocuzza Massimo & C. SNC,U,Via XX Settembre 16,95011,095-645440,Catania
CALATABIANO,Franco Giorgio,U,"Via Umberto, 26",95011,095-645241,Catania
