PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,81007,Malattie ischemiche del cuore,22,13
2009-2017,81007,Altre malattie del cuore,19,25
2009-2017,81007,Malattie cerebrovascolari,29,44
2009-2017,81007,Malattie del sistema respiratorio,25,12
2009-2017,81007,Malattie croniche delle basse vie respiratorie,22,10
2009-2017,81007,Malattie dell'apparato digerente,9,7
2009-2017,81007,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,81007,Malattie epatiche croniche,2,4
2009-2017,81007,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,81007,Malattie del sistema genitourinario,12,13
2009-2017,81007,Malattie del rene e dell'uretere,12,13
2009-2017,81007,Alcune condizioni che hanno origine nel periodo perinatale,0,2
2009-2017,81007,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,81007,Malformazioni congenite del sistema nervoso,1,0
2009-2017,81007,"Sintomi, segni, risultati anomali e cause mal definite",0,1
2009-2017,81007,Cause esterne di traumatismo e avvelenamento,17,6
2009-2017,81007,Accidenti,12,5
2009-2017,81007,Accidenti di trasporto,3,0
2009-2017,81007,Cadute accidentali,6,3
2009-2017,81007,Suicidio e autolesione intenzionale,4,1
2009-2017,81007,Eventi di intento indeterminato,1,0
2009-2017,81008,Malattie infettive e parassitarie,9,5
2009-2017,81008,Tubercolosi,4,0
2009-2017,81008,Tumore,379,265
2009-2017,81008,Tumori maligni,367,259
2009-2017,81008,"Tumori maligni delle labbra, cavità orale e faringe",5,4
2009-2017,81008,Tumori maligni dell'esofago,6,1
2009-2017,81008,Tumori maligni dello stomaco,20,6
2009-2017,81008,Tumori maligni del colon,31,26
2009-2017,81008,Tumori maligni del retto e dell'ano,7,8
2009-2017,81008,Tumori maligni del fegato e dei dotti biliari intraepatici,15,6
2009-2017,81008,Tumori maligni del pancreas,20,21
2009-2017,81008,Tumori maligni della laringe e della trachea/bronchi/polm.,113,24
2009-2017,81008,Tumori maligni della cute,6,2
2009-2017,81008,Tumori maligni del seno,0,53
2009-2017,81008,Tumori maligni della cervice uterina,0,2
2009-2017,81008,Tumori maligni di altre parti dell'utero,0,14
2009-2017,81008,Tumori maligni dell'ovaio,0,12
2009-2017,81008,Tumori maligni della prostata,41,0
2009-2017,81008,Tumori maligni del rene,10,3
2009-2017,81008,Tumori maligni della vescica,21,2
2009-2017,81008,Tumori maligni del tessuto linfatico/ematopoietico,32,30
2009-2017,81008,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,7,6
2009-2017,81008,"Malattie endocrine, nutrizionali e metaboliche",75,92
2009-2017,81008,Diabete mellito,71,87
2009-2017,81008,Disturbi psichici e comportamentali,31,63
2009-2017,81008,Malattie del sistema nervoso e degli organi di senso,33,42
2009-2017,81008,Malattie del sistema circolatorio,404,523
2009-2017,81008,Malattie ischemiche del cuore,141,124
2009-2017,81008,Altre malattie del cuore,59,88
2009-2017,81008,Malattie cerebrovascolari,119,182
2009-2017,81008,Malattie del sistema respiratorio,89,50
2009-2017,81008,Polmonite,9,6
2009-2017,81008,Malattie croniche delle basse vie respiratorie,51,28
2009-2017,81008,Asma,1,0
2009-2017,81008,Malattie dell'apparato digerente,39,47
2009-2017,81008,"Ulcera dello stomaco, duodeno e digiuno",2,5
2009-2017,81008,Malattie epatiche croniche,18,10
2009-2017,81008,Malattie del sistema osteomuscolare e del tessuto connettivo,1,11
2009-2017,81008,Artrite reumatoide e osteoartrite,0,8
2009-2017,81008,Malattie del sistema genitourinario,44,28
2009-2017,81008,Malattie del rene e dell'uretere,41,26
2009-2017,81008,Alcune condizioni che hanno origine nel periodo perinatale,4,0
2009-2017,81008,Malformazioni congenite e anormalità cromosomiche,3,4
2009-2017,81008,Malformazioni congenite del sistema nervoso,0,1
2009-2017,81008,Malformazioni congenite del sistema circolatorio,1,3
2009-2017,81008,"Sintomi, segni, risultati anomali e cause mal definite",22,16
2009-2017,81008,Cause esterne di traumatismo e avvelenamento,57,44
2009-2017,81008,Accidenti,44,42
2009-2017,81008,Accidenti di trasporto,10,3
2009-2017,81008,Cadute accidentali,23,30
2009-2017,81008,Suicidio e autolesione intenzionale,7,0
2009-2017,81008,Eventi di intento indeterminato,4,2
2009-2017,81009,Malattie infettive e parassitarie,1,1
2009-2017,81009,Epatite virale,1,0
2009-2017,81009,Tumore,64,48
2009-2017,81009,Tumori maligni,63,44
2009-2017,81009,"Tumori maligni delle labbra, cavità orale e faringe",2,1
2009-2017,81009,Tumori maligni dello stomaco,1,1
2009-2017,81009,Tumori maligni del colon,5,7
2009-2017,81009,Tumori maligni del retto e dell'ano,2,0
2009-2017,81009,Tumori maligni del fegato e dei dotti biliari intraepatici,1,1
2009-2017,81009,Tumori maligni del pancreas,2,4
2009-2017,81009,Tumori maligni della laringe e della trachea/bronchi/polm.,18,3
2009-2017,81009,Tumori maligni della cute,2,3
2009-2017,81009,Tumori maligni del seno,0,8
2009-2017,81009,Tumori maligni di altre parti dell'utero,0,2
2009-2017,81009,Tumori maligni dell'ovaio,0,4
2009-2017,81009,Tumori maligni della prostata,9,0
2009-2017,81009,Tumori maligni del rene,2,0
2009-2017,81009,Tumori maligni della vescica,6,0
2009-2017,81009,Tumori maligni del tessuto linfatico/ematopoietico,2,3
2009-2017,81009,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,81009,"Malattie endocrine, nutrizionali e metaboliche",12,10
2009-2017,81009,Diabete mellito,11,8
2009-2017,81009,Disturbi psichici e comportamentali,4,6
2009-2017,81009,Malattie del sistema nervoso e degli organi di senso,1,9
2009-2017,81009,Malattie del sistema circolatorio,85,115
2009-2017,81009,Malattie ischemiche del cuore,30,22
2009-2017,81009,Altre malattie del cuore,17,15
2009-2017,81009,Malattie cerebrovascolari,21,42
2009-2017,81009,Malattie del sistema respiratorio,9,7
2009-2017,81009,Malattie croniche delle basse vie respiratorie,8,4
2009-2017,81009,Asma,1,0
2009-2017,81009,Malattie dell'apparato digerente,9,3
2009-2017,81009,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,81009,Malattie epatiche croniche,4,0
2009-2017,81009,Malattie del sistema osteomuscolare e del tessuto connettivo,1,0
2009-2017,81009,Malattie del sistema genitourinario,6,5
2009-2017,81009,Malattie del rene e dell'uretere,5,5
2009-2017,81009,"Sintomi, segni, risultati anomali e cause mal definite",3,2
2009-2017,81009,Cause esterne di traumatismo e avvelenamento,9,5
2009-2017,81009,Accidenti,8,4
2009-2017,81009,Accidenti di trasporto,2,0
2009-2017,81009,Cadute accidentali,3,3
2009-2017,81009,Suicidio e autolesione intenzionale,0,1
2009-2017,81009,Eventi di intento indeterminato,1,0
2009-2017,81010,Malattie infettive e parassitarie,1,1
2009-2017,81010,Tumore,79,50
2009-2017,81010,Tumori maligni,75,45
2009-2017,81010,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,81010,Tumori maligni dell'esofago,1,1
2009-2017,81010,Tumori maligni dello stomaco,2,2
2009-2017,81010,Tumori maligni del colon,4,5
2009-2017,81010,Tumori maligni del retto e dell'ano,3,1
2009-2017,81010,Tumori maligni del fegato e dei dotti biliari intraepatici,4,1
2009-2017,81010,Tumori maligni del pancreas,3,0
2009-2017,81010,Tumori maligni della laringe e della trachea/bronchi/polm.,24,7
2009-2017,81010,Tumori maligni della cute,0,1
2009-2017,81010,Tumori maligni del seno,0,10
2009-2017,81010,Tumori maligni della cervice uterina,0,1
2009-2017,81010,Tumori maligni di altre parti dell'utero,0,5
2009-2017,81010,Tumori maligni dell'ovaio,0,3
2009-2017,81010,Tumori maligni della prostata,7,0
2009-2017,81010,Tumori maligni del rene,3,0
2009-2017,81010,Tumori maligni della vescica,6,0
2009-2017,81010,Tumori maligni del tessuto linfatico/ematopoietico,8,4
2009-2017,81010,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,4
2009-2017,81010,"Malattie endocrine, nutrizionali e metaboliche",15,11
2009-2017,81010,Diabete mellito,13,8
2009-2017,81010,Disturbi psichici e comportamentali,4,17
2009-2017,81010,Malattie del sistema nervoso e degli organi di senso,3,8
2009-2017,81010,Malattie del sistema circolatorio,108,125
2009-2017,81010,Malattie ischemiche del cuore,25,10
2009-2017,81010,Altre malattie del cuore,15,16
2009-2017,81010,Malattie cerebrovascolari,51,66
2009-2017,81010,Malattie del sistema respiratorio,16,9
2009-2017,81010,Polmonite,2,4
2009-2017,81010,Malattie croniche delle basse vie respiratorie,12,2
2009-2017,81010,Malattie dell'apparato digerente,4,10
2009-2017,81010,"Ulcera dello stomaco, duodeno e digiuno",0,2
2009-2017,81010,Malattie epatiche croniche,3,1
2009-2017,81010,Malattie del sistema osteomuscolare e del tessuto connettivo,0,3
2009-2017,81010,Malattie del sistema genitourinario,6,6
2009-2017,81010,Malattie del rene e dell'uretere,6,6
2009-2017,81010,"Sintomi, segni, risultati anomali e cause mal definite",2,3
2009-2017,81010,Cause esterne di traumatismo e avvelenamento,14,8
2009-2017,81010,Accidenti,10,8
